message,label,category
The database backup completed successfully.,0,normal
We still need approval before releasing this change.,1,unresolved
Please investigate the failed authentication requests.,1,follow_up
The security incident has been closed.,0,normal
The registration deadline is approaching.,1,deadline
The deployment is still blocked.,1,unresolved
The user permissions were verified.,0,normal
The report was submitted before the deadline.,0,normal
The invoice was approved before Friday.,0,normal
We need a decision about the deployment strategy.,1,unresolved
The application needs to be restarted before the next test.,1,deadline
Therese is responsible for the deployment.,0,normal
The deployment block was removed.,0,normal
The unusual activity was investigated and cleared.,0,normal
The API is no longer unavailable.,0,normal
The backup was verified before midnight.,0,normal
Could you send the updated report today?,1,follow_up
The API is responding normally.,0,normal
Please complete the access review by Thursday.,1,deadline
I received your message.,0,normal
The invoice requires approval before Friday.,1,deadline
The account was restored this morning.,0,normal
Please upload the missing documentation.,1,follow_up
The question was answered during the meeting.,0,normal
The meeting ended at three o'clock.,0,normal
I agree with the proposed approach.,0,normal
The production server is down and users cannot log in.,1,urgent
The attachment contains the final version.,0,normal
The deployment must finish before the maintenance window.,1,deadline
Who is responsible for the deployment?,1,question
Can you review the deployment logs before noon?,1,follow_up
The customer needs an answer before the end of the day.,1,deadline
The incident was closed after testing.,0,normal
The application is running normally.,0,normal
The login service is available again.,0,normal
Users still cannot access their accounts.,1,urgent
Did the customer receive the response?,1,question
Should we postpone the release?,1,question
The incident is fully resolved.,0,normal
I completed the database migration.,0,normal
Have a good evening.,0,normal
The pending request was approved.,0,normal
The production API is currently unavailable.,1,urgent
Everything looks correct.,0,normal
The application must be submitted tonight.,1,deadline
The customer received an update.,0,normal
The security review is complete.,0,normal
Why has the application not been deployed yet?,1,question
Please verify the deployment status.,1,follow_up
The application is returning errors for every login attempt.,1,urgent
The incident remains unresolved.,1,unresolved
The security review was completed early.,0,normal
The deployment cannot continue without the environment variable.,1,unresolved
The response is required by the end of the day.,1,deadline
The access request has not been approved.,1,unresolved
Please acknowledge the final governance decision.,1,follow_up
Please review the attached evidence.,1,follow_up
The invoice was approved and paid.,0,normal
The application was submitted successfully.,0,normal
The customer received the requested response.,0,normal
The configuration problem was fixed.,0,normal
The security certificate expires this week.,1,deadline
Who can help resolve the failed workflow?,1,question
The workflow finished successfully.,0,normal
Call me immediately. This is an emergency.,1,urgent
The configuration problem remains open.,1,unresolved
The payment deadline expires tomorrow.,1,deadline
The attachment is included in the message.,0,normal
The project status was updated this afternoon.,0,normal
Why is the API still unavailable?,1,question
Did you complete the database backup?,1,question
The backup must be verified before midnight.,1,deadline
